date,UP
2024-01-25T02:21:35,True
2024-01-25T02:21:35,True
2024-01-25T02:31:35,True
2024-04-07T11:05:13,True
2024-04-07T11:05:13,True
2024-04-07T11:15:15,True
2024-04-07T11:15:15,True
2024-04-07T13:55:23,True
2024-04-07T13:55:23,True
2024-04-07T13:55:23,True
2024-04-07T13:55:23,True
2024-04-07T16:20:06,True
2024-04-07T16:20:06,True
2024-04-07T16:29:58,True
2024-04-07T17:01:05,True
2024-04-07T17:01:05,True
2024-04-07T17:16:54,True
2024-04-07T17:21:56,True
2024-04-07T17:24:35,True
2024-04-07T17:31:55,True
