date,UP
2024-01-26T02:18:52,True
2024-01-26T02:18:53,True
2024-01-26T02:18:53,True
2024-01-26T02:23:52,True
2024-01-26T02:28:52,True
2024-01-26T02:28:52,True
2024-01-26T02:33:53,True
2024-01-26T02:33:53,True
2024-01-26T02:33:53,True
2024-01-26T02:33:53,True
2024-01-26T02:43:52,True
2024-01-26T02:43:52,True
2024-01-26T02:48:53,True
2024-01-26T02:48:53,True
2024-01-26T02:48:53,True
2024-01-26T02:48:53,True
2024-01-26T02:58:52,True
2024-01-26T02:58:53,True
2024-01-26T03:03:53,True
2024-01-26T03:03:53,True
2024-01-26T03:03:53,True
2024-01-26T03:03:53,True
2024-01-26T03:13:52,True
2024-01-26T03:13:53,True
2024-01-26T03:18:53,True
2024-01-26T03:18:53,True
2024-01-26T03:18:53,True
2024-01-26T03:18:53,True
2024-01-26T03:28:52,True
2024-01-26T03:28:53,True
2024-01-26T03:28:53,True
2024-01-26T03:33:53,True
2024-01-26T03:33:53,True
2024-01-26T03:38:53,True
2024-01-26T03:43:53,True
2024-01-26T03:43:53,True
2024-01-26T03:43:53,True
2024-01-26T03:43:53,True
2024-01-26T03:53:52,True
2024-01-26T03:53:52,True
2024-01-26T03:53:52,True
2024-01-26T03:58:53,True
2024-01-26T03:58:53,True
2024-01-26T04:03:53,True
2024-01-26T04:03:53,True
2024-01-26T04:08:52,True
2024-01-26T04:13:53,True
2024-01-26T04:13:53,True
2024-01-26T04:13:53,True
2024-01-26T04:13:53,True
2024-01-26T04:23:53,True
2024-01-26T04:23:53,True
2024-01-26T04:23:53,True
2024-01-26T04:23:53,True
2024-01-26T04:33:52,True
2024-01-26T04:33:52,True
2024-01-26T04:38:52,True
2024-01-26T04:38:53,True
2024-01-26T04:38:52,True
2024-01-26T04:43:53,True
2024-01-26T04:43:53,True
2024-01-26T04:48:53,True
2024-01-26T04:53:53,True
2024-01-26T04:53:53,True
2024-01-26T04:58:53,True
2024-01-26T04:58:53,True
2024-01-26T04:58:53,True
2024-01-26T04:58:53,True
2024-01-26T05:08:53,True
2024-01-26T05:08:53,True
2024-01-26T05:08:53,True
2024-01-26T05:13:53,True
2024-01-26T05:13:53,True
2024-01-26T05:18:53,True
2024-01-26T05:23:53,True
2024-01-26T05:23:53,True
2024-01-26T05:23:53,True
2024-01-26T05:23:53,True
2024-01-26T05:33:53,True
2024-01-26T05:33:53,True
2024-01-26T05:33:53,True
2024-01-26T05:33:53,True
2024-01-26T05:43:52,True
2024-01-26T05:43:53,True
2024-01-26T05:43:53,True
2024-01-26T05:48:53,True
2024-01-26T05:48:53,True
2024-01-26T05:53:53,True
2024-01-26T05:53:53,True
2024-01-26T05:58:53,True
2024-01-26T05:58:53,True
2024-01-26T06:03:53,True
2024-01-26T06:03:53,True
2024-01-26T06:08:52,True
2024-01-26T06:13:53,True
2024-01-26T06:13:53,True
2024-01-26T06:13:53,True
2024-01-26T06:13:53,True
2024-01-26T06:23:53,True
2024-01-26T06:23:53,True
2024-01-26T06:28:53,True
2024-01-26T06:29:05,True
2024-01-26T06:29:05,True
2024-01-26T06:33:53,True
2024-01-26T06:33:53,True
2024-01-26T06:38:52,True
2024-01-26T06:43:53,True
2024-01-26T06:43:55,True
2024-01-26T06:43:53,True
2024-01-26T06:43:55,True
2024-01-26T06:53:53,True
2024-01-26T06:53:53,True
2024-01-26T06:53:53,True
2024-01-26T06:58:56,True
2024-01-26T06:58:56,True
2024-01-26T07:03:52,True
2024-01-26T07:08:53,True
2024-01-26T07:08:53,True
2024-01-26T07:08:53,True
2024-01-26T07:08:53,True
2024-01-26T07:18:53,True
2024-01-26T07:18:53,True
2024-01-26T07:18:53,True
2024-01-26T07:23:53,True
2024-01-26T07:23:53,True
2024-01-26T07:29:18,True
2024-01-26T07:29:18,True
2024-01-26T07:34:00,True
2024-01-26T07:34:00,True
2024-01-26T07:38:53,True
2024-01-26T07:38:53,True
2024-01-26T07:43:52,True
2024-01-26T07:43:52,True
2024-01-26T07:48:53,True
2024-01-26T07:53:16,True
2024-01-26T07:53:53,True
2024-01-26T07:53:53,True
2024-01-26T07:58:52,True
2024-01-26T08:03:52,True
2024-01-26T08:03:53,True
2024-01-26T08:03:53,True
2024-01-26T08:08:53,True
2024-01-26T08:08:53,True
2024-01-26T08:13:53,True
2024-01-26T08:13:53,True
2024-01-26T08:18:53,True
2024-01-26T08:18:53,True
2024-01-26T08:23:52,True
2024-01-26T08:28:53,True
2024-01-26T08:28:54,True
2024-01-26T08:28:53,True
2024-01-26T08:28:54,True
2024-01-26T08:38:52,True
2024-01-26T08:38:53,True
2024-01-26T08:38:53,True
2024-01-26T08:43:53,True
2024-01-26T08:48:53,True
2024-01-26T08:48:53,True
2024-01-26T08:48:53,True
2024-01-26T08:48:53,True
2024-01-26T08:58:52,True
2024-01-26T08:58:56,True
2024-01-26T08:58:56,True
2024-01-26T09:03:53,True
2024-01-26T09:03:53,True
2024-01-26T09:08:52,True
2024-01-26T09:13:53,True
2024-01-26T09:14:57,True
2024-01-26T09:13:53,True
2024-01-26T09:14:57,True
2024-01-26T09:23:52,True
2024-01-26T09:23:53,True
2024-01-26T09:39:50,True
2024-01-26T09:49:24,True
