date,UP
2024-01-24T07:39:39,True
2024-01-24T07:41:57,True
2024-01-24T07:43:48,True
2024-01-24T07:45:29,True
2024-01-24T07:51:34,True
2024-01-24T07:57:10,True
2024-01-24T07:59:26,True
2024-01-24T08:01:00,True
2024-01-24T08:06:35,True
2024-01-24T12:06:13,True
2024-01-24T12:06:13,True
2024-01-24T12:16:13,True
2024-01-24T12:16:13,True
2024-01-24T12:26:13,True
2024-01-24T12:26:13,True
2024-01-24T12:36:13,True
2024-01-24T12:36:13,True
2024-01-24T12:46:13,True
2024-01-24T12:46:13,True
2024-01-24T12:56:13,True
2024-01-24T12:56:13,True
2024-01-24T13:06:13,True
2024-01-24T13:06:13,True
2024-01-24T13:16:13,True
2024-01-24T13:16:13,True
2024-01-24T13:26:13,True
2024-01-24T13:26:13,True
2024-01-24T13:36:13,True
2024-01-24T13:36:13,True
2024-01-24T13:46:13,True
2024-01-24T13:46:13,True
2024-01-24T13:56:13,True
2024-01-24T13:56:13,True
2024-01-24T15:36:03,True
2024-01-24T15:36:03,True
2024-01-24T15:46:03,True
2024-01-24T15:46:03,True
2024-01-24T15:56:03,True
2024-01-24T15:56:03,True
2024-01-24T16:06:03,True
2024-01-24T16:06:03,True
2024-01-24T16:16:03,True
2024-01-24T16:16:03,True
2024-01-24T19:46:45,True
2024-01-24T19:46:46,True
2024-01-24T19:48:31,True
2024-01-24T19:48:32,True
2024-01-24T19:54:19,True
2024-01-24T19:54:20,True
2024-01-24T19:56:25,True
2024-01-24T19:56:26,True
2024-01-24T20:05:01,True
2024-01-24T20:05:02,True
2024-01-24T20:09:57,True
2024-01-24T20:09:58,True
2024-01-24T20:13:50,True
2024-01-24T20:13:51,True
2024-01-24T20:17:15,True
2024-01-24T20:17:17,True
2024-01-24T20:19:04,True
2024-01-24T20:19:05,True
2024-01-24T20:23:19,True
2024-01-24T20:23:21,True
2024-01-24T20:26:17,True
2024-01-24T20:26:18,True
