date,UP
2024-01-25T02:21:35,True
2024-01-25T02:21:35,True
2024-01-25T02:31:35,True
2024-02-02T22:44:07,False
2024-02-02T22:44:11,False
2024-02-02T22:44:14,True
2024-02-02T22:44:17,False
2024-02-02T22:44:20,False
2024-02-02T22:44:24,False
2024-02-02T22:44:28,False
2024-02-02T22:45:05,False
2024-02-02T22:45:31,False
2024-02-02T22:45:38,True
2024-02-02T22:45:46,True
2024-02-02T22:45:47,False
2024-02-02T22:45:48,True
2024-02-02T22:45:48,False
2024-02-02T22:45:49,True
2024-02-02T22:45:49,False
2024-02-02T22:45:50,True
2024-02-02T22:45:50,False
