date,UP
2024-01-25T02:21:35,True
2024-01-25T02:21:35,True
2024-01-25T02:31:35,True
2024-04-07T11:05:12,True
2024-04-07T11:05:12,True
2024-04-07T11:15:14,True
2024-04-07T11:15:14,True
2024-04-07T13:55:22,True
2024-04-07T13:55:22,True
2024-04-07T13:55:22,True
2024-04-07T13:55:22,True
2024-04-07T16:20:00,True
2024-04-07T16:20:00,True
2024-04-07T16:29:57,True
2024-04-07T17:01:03,True
2024-04-07T17:01:03,True
2024-04-07T17:16:53,True
2024-04-07T17:21:53,True
2024-04-07T17:24:35,True
2024-04-07T17:31:55,True
