date,UP
2024-01-24T07:46:26,True
2024-01-24T07:52:43,True
2024-01-24T07:58:20,True
2024-01-24T08:02:09,True
2024-01-24T12:06:16,True
2024-01-24T12:06:16,True
2024-01-24T12:16:16,True
2024-01-24T12:16:16,True
2024-01-24T12:26:16,True
2024-01-24T12:26:17,True
2024-01-24T12:36:16,True
2024-01-24T12:36:16,True
2024-01-24T12:46:16,True
2024-01-24T12:46:16,True
2024-01-24T12:56:16,True
2024-01-24T12:56:16,True
2024-01-24T13:06:16,True
2024-01-24T13:06:17,True
2024-01-24T13:16:16,True
2024-01-24T13:16:16,True
2024-01-24T13:26:16,True
2024-01-24T13:26:16,True
2024-01-24T13:36:16,True
2024-01-24T13:36:16,True
2024-01-24T13:46:16,True
2024-01-24T13:46:16,True
2024-01-24T13:56:16,True
2024-01-24T13:56:16,True
2024-01-24T15:36:06,True
2024-01-24T15:36:06,True
2024-01-24T15:46:06,True
2024-01-24T15:46:06,True
2024-01-24T15:56:06,True
2024-01-24T15:56:06,True
2024-01-24T16:06:06,True
2024-01-24T16:06:06,True
2024-01-24T16:16:06,True
2024-01-24T16:16:06,True
2024-01-24T16:26:06,True
2024-01-24T16:26:06,True
2024-01-24T19:46:55,True
2024-01-24T19:46:55,True
2024-01-24T19:48:44,True
2024-01-24T19:48:44,True
2024-01-24T19:54:26,True
2024-01-24T19:54:27,True
2024-01-24T19:56:32,True
2024-01-24T19:56:33,True
2024-01-24T20:05:08,True
2024-01-24T20:05:09,True
2024-01-24T20:10:04,True
2024-01-24T20:10:05,True
2024-01-24T20:13:58,True
2024-01-24T20:13:58,True
2024-01-24T20:17:23,True
2024-01-24T20:17:24,True
2024-01-24T20:19:12,True
2024-01-24T20:19:13,True
2024-01-24T20:23:27,True
2024-01-24T20:23:28,True
2024-01-24T20:26:25,True
2024-01-24T20:26:26,True
2024-01-24T20:37:17,True
2024-01-24T20:37:17,True
2024-01-24T20:45:31,True
2024-01-24T20:45:33,True
2024-01-24T20:46:50,True
2024-01-24T20:46:51,True
2024-01-24T20:49:27,True
2024-01-24T20:50:07,True
2024-01-24T20:50:08,True
2024-01-24T20:56:55,True
2024-01-24T20:56:56,True
2024-01-24T21:08:04,True
2024-01-24T21:08:05,True
2024-01-24T21:10:20,True
2024-01-24T21:10:21,True
